Model poisoning,poisoned nodes,Train_Loss,Train_Acc,Test_Loss,Test_Acc,Processing_Time,Train_Loss,Train_Acc,Test_Loss,Test_Acc,Processing_Time,Training Accuracy,Training Loss,Test Accuracy,Test Loss,Processing Time
5,0,0.456,75.841,1.464,58.73,1231.37,0.166,95.297,1.7832,50.992,1153.42,85.569,0.311,54.861,1.6236,1192.395
5,1,0.502,85.244,1.229,59.788,668.15,0.417,88.712,1.329,57.936,675.58,86.978,0.4595,58.862,1.279,671.865
5,2,0.414,86.732,1.372,52.777,920.64,0.339,89.702,1.529,54.365,1006.11,88.217,0.3765,53.571,1.4505,963.375
5,3,0.659,0.767,1.264,60.119,1198.22,0.487,82.673,1.236,58.134,1243.27,41.720,0.573,59.1265,1.25,1220.745
5,4,0.582,81.188,1.871,47.619,647.78,0.41,87.227,1.467,51.587,543.84,84.2075,0.496,49.603,1.669,595.81
10,0,0.456,75.841,1.464,58.73,1231.37,0.166,95.297,1.783,50.992,1153.42,85.569,0.311,54.861,1.6235,1192.395
10,1,0.741,75.445,1.389,54.232,719.79,0.735,76.633,1.7,47.619,540.83,76.039,0.738,50.9255,1.5445,630.31
10,2,0.472,85.445,1.521,47.222,1021.83,0.527,83.564,1.735,53.571,975.74,84.5045,0.4995,50.3965,1.628,998.785
10,3,0.477,83.465,1.302,61.904,1250.92,0.42,86.089,1.351,56.349,1106.42,84.777,0.4485,59.1265,1.3265,1178.67
10,4,0.707,76.897,1.406,54.232,771.38,0.887,69.9,1.286,55.555,1187.01,73.3985,0.797,54.8935,1.346,979.195
15,0,0.456,75.841,1.464,58.73,1231.37,0.166,95.297,1.7832,50.992,1153.42,85.569,0.311,54.861,1.6236,1192.395
15,1,0.339,89.702,1.529,54.365,771.32,0.537,82.97,1.401,54.365,800.44,86.336,0.438,54.365,1.465,785.88
15,2,0.468,82.97,1.247,60.119,1113.08,0.429,85.396,1.326,62.391,1118.64,84.183,0.4485,61.255,1.2865,1115.86
15,3,0.468,82.97,1.247,60.119,1113.08,0.429,85.396,1.326,62.391,1118.64,84.183,0.4485,61.255,1.2865,1115.86
15,4,0.378,88.811,1.484,0.539,992.9,0.337,90.891,1.525,57.936,710.84,89.851,0.3575,29.2375,1.5045,851.87
20,0,0.456,75.841,1.464,58.73,1231.37,0.166,95.297,1.7832,50.992,1153.42,85.569,0.311,54.861,1.6236,1192.395
20,1,0.706,76.831,1.308,55.952,693.9,0.938,77.92,2.146,54.761,963.33,77.3755,0.822,55.3565,1.727,828.615
20,2,0.54,81.089,1.315,54.761,804.82,0.498,82.475,1.213,59.92,702.19,81.782,0.519,57.3405,1.264,753.505
20,3,0.497,83.415,1.357,56.746,1128.291,0.387,86.435,1.319,56.944,1034.65,84.925,0.442,56.845,1.338,1081.4705
20,4,1.011,67.062,1.429,50,857.57,0.911,72.079,1.798,46.428,827.24,69.5705,0.961,48.214,1.6135,842.405
25,0,0.456,75.841,1.464,58.73,1231.37,0.166,95.297,1.7832,50.992,1153.42,85.569,0.311,54.861,1.6236,1192.395
25,1,0.709,81.832,1.319,52.777,772.1,0.985,74.95,1.899,44.047,645.15,78.391,0.847,48.412,1.609,708.625
25,2,0.382,88.811,1.568,52.777,930.73,0.43,86.435,1.854,52.238,836.09,87.623,0.406,52.5075,1.711,883.41
25,3,0.532,83.217,1.47,55.952,1034.29,0.487,83.91,1.354,59.523,1108.45,83.5635,0.5095,57.7375,1.412,1071.37
25,4,0.369,89.207,1.71,48.412,1054.33,0.475,85.742,1.545,48.412,911.6,87.475,0.422,48.412,1.6275,982.965
30,0,0.456,75.841,1.464,58.73,1231.37,0.166,95.297,1.7832,50.992,1153.42,85.569,0.311,54.861,1.6236,1192.395
30,1,0.295,93.267,1.553,52.38,865.38,0.446,84.554,1.661,51.587,772.09,88.9105,0.3705,51.9835,1.607,818.735
30,2,0.395,86.831,1.52,56.349,1119.41,0.512,0.823,1.31,57.936,1068.37,43.827,0.4535,57.1425,1.415,1093.89
30,3,0.402,86.782,1.364,57.936,1096.83,0.452,83.613,1.425,58.531,972.5,85.1975,0.427,58.2335,1.3945,1034.665
30,4,0.82,73.96,1.51,41.666,942.81,0.903,70.495,1.878,40.079,1065.06,72.2275,0.8615,40.8725,1.694,1003.935