poisoned nodes,Model poisoning,Training Accuracy,Training Loss,Test Accuracy,Test Loss,Processing Time,,Training Loss,Training Acc,Test Loss,Test Acc,Processing Time,,Training Loss,Training Acc,Test Loss,Test Acc,Processing Time
0,5,85.569,0.311,54.861,1.6236,1192.395,,0.456,75.841,1.464,58.73,1231.37,,0.166,95.297,1.7832,50.992,1153.42
1,5,85.272,0.4395,58.928,1.3155,1283.84,,0.435,86.089,1.325,58.531,1313.76,,0.444,84.455,1.306,59.325,1253.92
2,5,80.025,0.559,57.3405,1.264,1313.33,,0.647,77.475,1.247,56.547,1332.41,,0.471,82.574,1.281,58.134,1294.25
3,5,84.777,0.4515,58.522,1.292,1220.745,,0.487,82.673,1.236,58.314,1243.27,,0.416,86.881,1.348,58.73,1198.22
4,5,87.081,0.376,60.4165,1.3095,1298.835,,0.362,87.727,1.312,60.119,1274.3,,0.39,86.435,1.307,60.714,1323.37
0,10,85.569,0.311,54.861,1.6236,1192.395,,0.456,75.841,1.464,58.73,1231.37,,0.166,95.297,1.7832,50.992,1153.42
1,10,85.0975,0.4825,58.6555,1.3515,1305.745,,0.47,85.245,1.353,58.581,1276.81,,0.495,84.95,1.35,58.73,1334.68
2,10,84.777,0.4485,59.1265,1.3265,1178.67,,0.477,83.465,1.302,61.904,1250.92,,0.42,86.089,1.351,56.349,1106.42
3,10,83.819,0.436,58.829,1.3095,1137.055,,0.44,84.257,1.292,60.912,1150.59,,0.432,83.381,1.327,56.746,1123.52
4,10,86.3115,0.4165,58.63,1.3635,981.195,,0.414,86.237,1.292,61.11,1116.36,,0.419,86.386,1.435,56.15,846.03
0,15,85.569,0.311,54.861,1.6236,1192.395,,0.456,75.841,1.464,58.73,1231.37,,0.166,95.297,1.7832,50.992,1153.42
1,15,83.589,0.514,59.7215,1.3375,1198.535,,0.435,85.891,1.271,62.301,1193.15,,0.593,81.287,1.404,57.142,1203.92
2,15,84.183,0.4485,61.255,1.2865,1115.86,,0.468,82.97,1.247,60.119,1113.08,,0.429,85.396,1.326,62.391,1118.64
3,15,84.6035,0.4495,58.8285,1.341,1259.255,,0.487,83.91,1.354,59.523,1108.45,,0.412,85.297,1.328,58.134,1410.06
4,15,87.6725,0.3785,58.92,1.32,1137.075,,0.4,86.732,1.326,59.523,1116.31,,0.357,88.613,1.314,58.317,1157.84
0,20,85.569,0.311,54.861,1.6236,1192.395,,0.456,75.841,1.464,58.73,1231.37,,0.166,95.297,1.7832,50.992,1153.42
1,20,83.983,0.482,60.7135,1.319,1216.245,,0.512,83.366,1.392,60.515,1235.85,,0.452,84.6,1.246,60.912,1196.64
2,20,84.2075,0.4565,59.0275,1.366,961.7,,0.472,83.465,1.327,60.714,968.35,,0.441,84.95,1.405,57.341,955.05
3,20,84.925,0.442,56.845,1.338,1081.4705,,0.497,83.415,1.357,56.746,1128.291,,0.387,86.435,1.319,56.944,1034.65
4,20,81.732,0.51925,57.3405,1.269,803.5075,,0.54,81.089,1.325,54.761,904.82,,0.4985,82.375,1.213,59.92,702.195
0,25,85.569,0.311,54.861,1.6236,1192.395,,0.456,75.841,1.464,58.73,1231.37,,0.166,95.297,1.7832,50.992,1153.42
1,25,82.153,0.6005,58.928,1.3055,1190.87,,0.595,82.574,1.285,60.912,1208.94,,0.606,81.732,1.326,56.944,1172.8
2,25,84.212,0.5065,58.8285,1.3605,1070.355,,0.53,84.613,1.357,61.904,1106.42,,0.483,83.811,1.364,55.753,1034.29
3,25,84.653,0.458,60.957,1.34,1113.545,,0.429,85.396,1.326,62.391,1118.64,,0.487,83.91,1.354,59.523,1108.45
4,25,86.512,0.387,59.1265,1.32,1195.33,,0.412,85.297,1.328,58.134,1116.36,,0.362,87.727,1.312,60.119,1274.3
0,30,85.569,0.311,54.861,1.6236,1192.395,,0.456,75.841,1.464,58.73,1231.37,,0.166,95.297,1.7832,50.992,1153.42
1,30,82.1,0.5585,60.31,1.292,1304.625,,0.547,82.92,1.244,61.3,1243.89,,0.57,81.28,1.34,59.32,1365.36
2,30,83.514,0.5075,55.8525,1.417,1083.415,,0.483,83.811,1.364,55.753,1132.54,,0.532,83.217,1.47,55.952,1034.29
3,30,85.1975,0.427,58.2335,1.3945,1034.665,,0.402,86.782,1.364,57.936,1096.83,,0.452,83.613,1.425,58.531,972.5
4,30,89.224,0.3295,57.022,1.447,1093.8905,,0.395,86.831,1.383,56.373,1119.411,,0.264,91.617,1.511,57.671,1068.37